trial,cost,time_ms
0,1026458,1042
1,1014012,1065
2,1023748,1039
3,1032725,1036
4,1023957,1039
5,1026360,1022
6,1032264,1027
7,1035767,1024
8,1016360,1017
9,1027994,1022
10,1015592,1028
11,1039722,1032
12,1022493,1024
13,1025354,1023
14,1020455,1021
15,1023706,1022
16,1020875,1024
17,1024487,1022
18,1028417,1024
19,1021170,1025
20,1020229,1029
21,1026775,1024
22,1038990,1020
23,1020415,1024
24,1031577,1023
25,1012168,1028
26,1036475,1032
27,1022766,1018
28,1027602,1023
29,1007835,1025
30,1017568,1029
31,1021739,1026
32,1030656,1020
33,1032605,1065
34,1036693,1062
35,1019052,1089
36,1027649,1045
37,1027705,1075
38,1016169,1047
39,1023869,1029
40,1024519,1054
41,1034152,1040
42,1020695,1026
43,1025291,1034
44,1028439,1040
45,1006339,1029
46,1036862,1043
47,1027403,1038
48,1031009,1022
49,1029592,1042
50,1030558,1054
51,1030737,1039
52,1016101,1027
53,1016826,1029
54,1020354,1026
55,1029618,1035
56,1031790,1037
57,1027697,1039
58,1026642,1032
59,1029724,1028
60,1031994,1045
61,1013927,1036
62,1016178,1025
63,1027924,1023
64,1032208,1026
65,1028677,1030
66,1023469,1024
67,1027627,1025
68,1012579,1032
69,1022048,1029
70,1018351,1051
71,1029255,1042
72,1036658,1044
73,1027607,1021
74,1023936,1031
75,1011348,1029
76,1024430,1035
77,1014608,1030
78,1026053,1031
79,1027245,1023
80,1012486,1045
81,1032049,1046
82,1040278,1032
83,1023595,1025
84,1025594,1029
85,1025005,1025
86,1030323,1020
87,1017553,1024
88,1024270,1024
89,1035339,1022
90,1027430,1048
91,1022096,1040
92,1036778,1038
93,1028213,1044
94,1031947,1040
95,1025304,1030
96,1027055,1028
97,1028380,1032
98,1036719,1034
99,1038554,1031
