trial,cost,time_ms
0,719936,1954
1,715032,1902
2,731534,1890
3,726337,1870
4,726647,1874
5,727967,1871
6,725028,1866
7,723036,1866
8,722913,1885
9,731601,1876
10,724219,1890
11,722218,1868
12,718002,1873
13,726061,1870
14,720027,1871
15,725475,1874
16,724569,1875
17,725381,1868
18,722623,1872
19,727578,1897
20,723995,1968
21,724818,1928
22,725356,1895
23,722479,1891
24,731313,1941
25,726403,1914
26,729363,1894
27,723842,1911
28,729293,1897
29,727530,1894
30,726941,1907
31,718944,1985
32,722315,1973
33,719778,1967
34,716361,1928
35,726152,1923
36,728147,1998
37,729354,1903
38,725198,1893
39,725694,1907
40,722620,1916
41,723481,1891
42,728415,1933
43,722563,1956
44,720846,1888
45,719514,1910
46,726950,1901
47,725286,1870
48,725048,1874
49,723448,1868
50,731579,1900
51,717052,1872
52,720863,1869
53,727139,1873
54,723606,1866
55,720232,1872
56,723733,1872
57,721940,1868
58,718814,1871
59,721214,1873
60,729303,1890
61,725194,1867
62,721661,1876
63,727065,1870
64,718618,1872
65,722340,1869
66,725240,1870
67,724132,1876
68,721775,1871
69,728948,1871
70,731327,1890
71,714816,1872
72,726565,1875
73,717007,1873
74,733477,1864
75,719584,1911
76,724134,1906
77,722230,1938
78,726437,1928
79,720086,1889
80,723305,1910
81,723567,1872
82,722744,1882
83,721199,1873
84,719340,1875
85,724881,1874
86,723401,1872
87,729858,1948
88,725787,1884
89,724376,1916
90,727063,1934
91,728610,1902
92,721073,2011
93,726012,1875
94,718144,1938
95,719871,1928
96,718054,1897
97,724654,1878
98,723270,1879
99,722653,1875
