trial,cost,time_ms
0,548316,1834
1,548641,1794
2,558082,1796
3,550642,1778
4,552552,1775
5,556944,1773
6,548343,1780
7,532313,1769
8,555215,1773
9,560822,1770
10,539397,1776
11,543283,1776
12,565273,1782
13,579322,1768
14,545781,1775
15,554548,1780
16,548668,1775
17,564000,1771
18,543971,1772
19,555551,1774
20,554213,1787
21,548011,1755
22,551057,1782
23,552056,1781
24,546500,1759
25,561718,1747
26,557745,1751
27,549600,1767
28,539227,1766
29,549815,1763
30,565808,1790
31,548802,1750
32,546597,1761
33,551520,1766
34,547967,1766
35,556956,1755
36,566719,1752
37,542578,1752
38,566036,1747
39,543410,1766
40,541619,1780
41,561703,1746
42,550016,1748
43,549606,1749
44,566174,1755
45,538333,1771
46,551719,1774
47,556170,1769
48,537909,1753
49,566712,1763
50,555042,1842
51,559956,1779
52,541423,1795
53,546390,1778
54,552641,1768
55,567326,1756
56,548311,1793
57,554080,1810
58,541688,1773
59,549214,1780
60,540427,1807
61,571864,1831
62,559366,1813
63,563478,1806
64,540749,1754
65,561235,1752
66,557157,1760
67,541134,1813
68,569531,1848
69,545920,1808
70,541858,1800
71,546529,1820
72,548259,1757
73,550209,1756
74,552193,1744
75,567102,1748
76,555971,1743
77,564150,1748
78,547462,1748
79,547617,1754
80,563501,1755
81,561449,1744
82,553007,1754
83,559287,1788
84,541984,1787
85,548123,1797
86,564048,1789
87,543067,1858
88,548926,1857
89,544752,1841
90,570877,1817
91,533863,1804
92,564456,1797
93,558941,1763
94,573754,1782
95,564516,1792
96,557370,1792
97,569807,1781
98,546951,1768
99,554633,1791
