trial,cost,time_ms
0,2446672,1051
1,2609520,629
2,2520192,680
3,2519737,821
4,2516521,766
5,2517074,835
6,2530662,834
7,2623190,572
8,2551171,635
9,2502856,823
10,2568482,725
11,2462219,934
12,2492618,817
13,2534053,838
14,2504515,793
15,2530444,738
16,2528002,738
17,2481066,940
18,2482607,844
19,2618443,566
20,2524560,772
21,2505132,857
22,2527020,764
23,2613948,595
24,2466146,897
25,2621882,560
26,2526472,705
27,2418981,1119
28,2525889,696
29,2510068,746
30,2451239,883
31,2471616,895
32,2526363,758
33,2564373,644
34,2509692,727
35,2603103,647
36,2602372,640
37,2575807,629
38,2490837,801
39,2432085,1092
40,2507507,893
41,2638962,587
42,2535721,757
43,2515278,839
44,2468849,890
45,2526477,744
46,2550648,694
47,2496290,897
48,2458276,960
49,2529683,830
50,2485728,1021
51,2499735,962
52,2551824,733
53,2675325,553
54,2497805,944
55,2530568,748
56,2517463,797
57,2468827,998
58,2506829,774
59,2500015,1089
60,2540221,776
61,2559541,708
62,2516217,795
63,2459046,1016
64,2582217,655
65,2593975,670
66,2500162,763
67,2527500,796
68,2578082,667
69,2446038,1050
70,2467354,968
71,2511700,790
72,2505285,836
73,2554979,647
74,2551532,704
75,2475459,825
76,2547925,771
77,2466569,1001
78,2615259,574
79,2553773,695
80,2454828,883
81,2477415,854
82,2477262,855
83,2506469,785
84,2495586,854
85,2571247,675
86,2485868,1023
87,2498211,793
88,2544238,746
89,2588615,720
90,2484754,913
91,2527839,796
92,2481638,914
93,2563894,767
94,2547927,720
95,2557743,763
96,2550838,764
97,2572291,704
98,2516015,869
99,2490798,908
