trial,cost,time_ms
0,124565,342
1,124915,344
2,123231,439
3,123262,574
4,121765,382
5,121964,387
6,124721,414
7,121331,467
8,124271,398
9,122901,424
10,124098,345
11,121433,355
12,123880,436
13,121836,489
14,121355,419
15,122455,387
16,124458,396
17,122781,334
18,124786,384
19,123306,318
20,123112,409
21,125664,352
22,122829,436
23,123582,360
24,122750,433
25,121953,297
26,122799,451
27,125885,309
28,125403,393
29,120729,621
30,120250,533
31,121623,306
32,123138,457
33,123926,394
34,122819,472
35,125446,416
36,123250,367
37,123266,377
38,126450,287
39,130176,269
40,126724,336
41,123934,363
42,123089,369
43,123398,398
44,121114,522
45,121567,382
46,124924,369
47,123707,369
48,123207,307
49,123023,472
50,122145,463
51,125982,282
52,127940,319
53,124486,454
54,126415,321
55,121556,525
56,123582,412
57,124227,384
58,123508,402
59,123086,416
60,122059,525
61,123341,454
62,121146,431
63,123520,399
64,122123,627
65,124995,310
66,120760,426
67,123859,338
68,126101,299
69,126905,398
70,122923,477
71,128720,266
72,121743,630
73,127916,359
74,124872,343
75,120517,567
76,121912,499
77,123792,397
78,124587,345
79,128035,263
80,122270,433
81,122545,514
82,123423,393
83,122147,391
84,123111,519
85,123452,494
86,123580,355
87,127287,289
88,120961,385
89,125351,448
90,122464,460
91,124129,366
92,124788,400
93,122716,428
94,124129,380
95,123058,399
96,123840,390
97,125603,366
98,123437,352
99,122579,423
